"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 15:45:34 UTC 2023","Fri May 26 15:46:07 UTC 2023","33603","Cases Search","1 Org Admin","1.2 Created Date","","","1.2.12 Year to date",""
"passed","Fri May 26 16:50:27 UTC 2023","Fri May 26 16:51:32 UTC 2023","65480","Cases Search","1 Org Admin","1.13 Closed Date","","","1.13.3 between",""
"failed","Fri May 26 17:05:07 UTC 2023","Fri May 26 17:07:05 UTC 2023","117546","Cases Search","1 Org Admin","1.13 Closed Date","","","1.13.13 Last Year",""
"passed","Fri May 26 16:52:24 UTC 2023","Fri May 26 16:53:31 UTC 2023","67140","Cases Search","1 Org Admin","1.13 Closed Date","","","1.13.5 newer than X",""
"passed","Fri May 26 16:17:02 UTC 2023","Fri May 26 16:17:48 UTC 2023","46879","Cases Search","1 Org Admin","1.7 Offense Date","","","1.7.3 between",""
"passed","Fri May 26 15:42:37 UTC 2023","Fri May 26 15:42:49 UTC 2023","11862","Cases Search","1 Org Admin","1.2 Created Date","","","1.2.4 exactly",""
"failed","Fri May 26 15:49:42 UTC 2023","Fri May 26 15:51:20 UTC 2023","97931","Cases Search","1 Org Admin","1.4 Case Officer(s) > 1.4.1 equals (or)","","","1.4.1.2 UserGroupA saved in Case Officer(s) field ---> UserGroupA, UserGroupB and UserB selected in Search criteria",""
"passed","Fri May 26 15:42:20 UTC 2023","Fri May 26 15:42:37 UTC 2023","16956","Cases Search","1 Org Admin","1.2 Created Date","","","1.2.3 between",""
"passed","Fri May 26 17:20:20 UTC 2023","Fri May 26 17:21:26 UTC 2023","65956","Cases Search","1 Org Admin","1.14 Review Date","","","1.14.8 Current week",""
"passed","Fri May 26 16:42:18 UTC 2023","Fri May 26 16:43:47 UTC 2023","88881","Cases Search","1 Org Admin","1.10 Tags > 1.10.2 equals (and)","","","1.10.2.1 TagA saved in Tags field ---> TagA and TagB selected in Search criteria",""
"failed","Fri May 26 16:31:24 UTC 2023","Fri May 26 16:34:51 UTC 2023","206969","Cases Search","1 Org Admin","1.9 Active","","","1.9.1 equals",""
"failed","Fri May 26 17:14:30 UTC 2023","Fri May 26 17:15:42 UTC 2023","71249","Cases Search","1 Org Admin","1.14 Review Date","","","1.14.5 newer than X",""
"passed","Fri May 26 17:21:27 UTC 2023","Fri May 26 17:22:45 UTC 2023","77832","Cases Search","1 Org Admin","1.14 Review Date","","","1.14.9 Last week",""
"passed","Fri May 26 16:43:47 UTC 2023","Fri May 26 16:46:48 UTC 2023","180772","Cases Search","1 Org Admin","1.10 Tags > 1.10.2 equals (and)","","","1.10.2.2 TagA and TagB saved in Tags field ---> TagA selected in Search criteria",""
"passed","Fri May 26 16:48:23 UTC 2023","Fri May 26 16:49:32 UTC 2023","69292","Cases Search","1 Org Admin","1.13 Closed Date","","","1.13.1 before",""
"passed","Fri May 26 16:10:06 UTC 2023","Fri May 26 16:10:52 UTC 2023","46167","Cases Search","1 Org Admin","1.5 Offense Type","","","1.5.2 not equals",""
"failed","Fri May 26 16:19:14 UTC 2023","Fri May 26 16:21:00 UTC 2023","106364","Cases Search","1 Org Admin","1.7 Offense Date","","","1.7.6 older than X",""
"failed","Fri May 26 16:57:49 UTC 2023","Fri May 26 17:00:15 UTC 2023","145732","Cases Search","1 Org Admin","1.13 Closed Date","","","1.13.9 Last week",""
"passed","Fri May 26 15:41:43 UTC 2023","Fri May 26 15:41:54 UTC 2023","10337","Cases Search","1 Org Admin","1.1 Created By","","","1.1.4 ""Created By"" not equals {email of the current user who did not create a case}",""
"passed","Fri May 26 15:41:54 UTC 2023","Fri May 26 15:42:07 UTC 2023","13091","Cases Search","1 Org Admin","1.2 Created Date","","","1.2.1 before",""
"passed","Fri May 26 16:26:40 UTC 2023","Fri May 26 16:27:24 UTC 2023","44383","Cases Search","1 Org Admin","1.7 Offense Date","","","1.7.13 Last Year",""
